,image,url,etoile,Nom,Telephone,Adress,Façon Cuisine,Description,Derssert,étoils cusine,Website,href,Ville,codePosttal,Coordinates
10,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/af8b3c3210f04c24a3200fbfd4d7867e.jpeg,/fr/fr/auvergne-rhone-alpes/ambronay/restaurant/auberge-de-l-abbaye65232,Une étoile, Auberge de l'Abbaye,+33 4 74 46 42 54,"47 place des Anciens-Combattants, Ambronay, 01500, France",Cuisine moderne,"Au pied de l'abbaye bénédictine d’Ambronay, cette auberge contemporaine a été pensée dans les moindres détails par le maître des lieux, Ivan Lavaux. Attentif au choix des matériaux et des couleurs (jusqu'à une toile de Jouy créée spécialement !), cet aubergiste moderne évolue entre salle et cuisine, mettant à l'honneur les nombreux crus sélectionnés qui composent sa cave, comme les produits nobles qu'il affectionne, le tout dans une démarche locavore. Laissez-vous porter par ses menus sans choix, au déjeuner comme au dîner.",Une étoile : une cuisine d’une grande finesse,Une étoile : une cuisine d’une grande finesse,http://www.aubergedelabbaye-ambronay.com,/fr/fr/auvergne-rhone-alpes/ambronay/restaurant/auberge-de-l-abbaye65232, Ambronay,1500,"[5.325948, 45.948701]"
11,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/a24dca10df314238880def4ac4ddeb98.jpg,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/anto,Gourmande, ANTO,+33 4 50 45 21 68,"14 faubourg Sainte-Claire, Annecy, 74000, France",Cuisine moderne,"Anto... comme Anthony Bisquerra, qui eut, on s'en souvient, 2 étoiles à La Table de l'Alpaga de Megève. Originaire du Sud-Ouest, passé par Bordeaux et La Rochelle, ce chef est tombé amoureux de la Haute-Savoie, de ses montagnes et de ses lacs. Il raconte cette histoire chez lui, au cœur du Vieil Annecy, dans un décor harmonieux de chaux, de bois et de pierre. Judicieuse, cette partition d'équilibriste fait dialoguer la Savoie et d'autres terroirs bien connus du chef. Pour preuve, le pop-corn flirte avec le piment d'Espelette, le bourgeon de sapin avec le poireau et la truite gravlax ; au dessert, le chocolat et la glace au piquillos confit tiennent parfaitement tête à la piquante poudre de sriracha fumée.",Une cuisine de qualité,0,http://www.antorestaurant.fr,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/anto, Annecy,74000,"[6.123152, 45.897499]"
12,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/55e65e70053e48938c7b8d338e28ea39.jpeg,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/black-bass,Gourmande, Black Bass,+33 4 50 52 40 36,"Black Bass Hotel, 921 route d'Albertville, à Sevrier, Annecy, 74000, France",Cuisine moderne,"Ambiance chic, décor tendance, vue imprenable sur le lac... et cuisine bistronomique menée par le talentueux Sacha Clapeyron, formé dans de belles maisons étoilées, et servie par la charmante Clémence Ayala, passée par le Ritz notamment. Sur des bases classiques, le chef propose une cuisine moderne, gourmande et créative au travers d’une courte carte où les poissons issus des piscicultures locales sont à l’honneur. Des touches créatives et exotiques viennent twister le palais et l’assiette : pain de truite, fenouil et gingembre ; quenelle de poisson, haricots vert et girolles ; crémeux de pistache et fleur d’oranger.",Une cuisine de qualité,0,https://www.blackbasshotel-annecy.com/,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/black-bass, Annecy,74000,"[6.117353, 45.879797]"
13,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/8ee32f064a76455a8ed30b8602cdc2b2.jpg,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/brasserie-brunet,Gourmande, Brasserie Brunet,+33 4 50 51 22 10,"10 rue de la Poste, Annecy, 74000, France",Cuisine traditionnelle,"À deux pas de la gare SNCF, une équipe tout sourire en tenue noire et tablier de cuir vous accueille dans un cadre british, entre pierres apparentes, boiseries et banquettes en moleskine. Pâté en croûte ""Brunet"" ; boudin noir aux oignons, pomme, salade de mâche ; foie de veau, risotto de petit épeautre... Une avalanche de bonnes recettes servies dans une ambiance décontractée. Agréable terrasse pour les beaux jours.",Une cuisine de qualité,0,https://www.brasseriebrunet.com/,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/brasserie-brunet, Annecy,74000,"[6.122928, 45.901488]"
14,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f3e395626eeb48c3a1860b4c47fed068.jpeg,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/cafe-brunet,Gourmande, Café Brunet,+33 4 50 27 65 65,"18 place Gabriel-Fauré - à Annecy-le-Vieux, Annecy, 74940, France",Cuisine traditionnelle,"Un vrai havre de paix que ce café de 1875 qui a su conserver son âme de bistrot authentique et convivial. Sur la terrasse ombragée, on laisse le temps filer en savourant une sympathique cuisine canaille et de bons petits plats mijotés servis en cocotte... Bonne sélection de vins au verre.",Une cuisine de qualité,0,https://cafebrunet.com,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/cafe-brunet, Annecy,74940,"[6.142324, 45.919902]"
15,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/92e33f9e6a0c4299a6c5fed5315f504c.jpeg,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/choral,Gourmande, Choral,+33 4 79 19 71 05,"33 avenue des Romains, Annecy, 74000, France",Cuisine moderne,"À dix minutes à pied du centre, dans le quartier des Romains, on s’attable ici dans une salle tout longueur d’esprit scandinave ouverte par un chef qui a fréquenté le Clos des Sens de Laurent Petit avant de bourlinguer autour de la planète. Son cabillaud de ligne, tétragone, citron et câpres, travaillé dans l’esprit d’une grenobloise, nous a ravi les papilles. Le reste de sa partition gourmande et instinctive (qui exclut le beurre, la crème et le lait sauf pour les desserts) s’inspire largement de la fraîcheur des produits du marché (comme ces abricots au four, miel et sorbet rhubarbe), twisté par la technique sûre de ce pro. Menu mystère le soir en plusieurs séquences.",Une cuisine de qualité,0,http://www.choralrestaurant.com,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/choral, Annecy,74000,"[6.120168, 45.909683]"
16,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d8352907368e4a6aab74de81793fec4e.jpg,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/l-esquisse,Une étoile, L'Esquisse,+33 4 50 44 80 59,"21 rue Royale, Annecy, 74000, France",Cuisine moderne,"Ancien second de Laurent Petit au Clos des Sens, à Annecy-le-Vieux, Stéphane Dattrino s’est dessiné pour lui tout seul une jolie pochade de restaurant. Derrière une façade discrète, les tables pour deux dominent (une préférence pour celles situées à l'étage) et le service, volontairement décontracté, ne prend pas la pose. Le coup de crayon du chef se révèle sûr. Riche en goûts et en couleurs, sa palette de saison marie des produits de belle qualité, comme les plantes et les aromates locaux. Merlu de ligne de Saint-Jean-de-Luz, compotée d'endives ; cœur de ris de veau croustillant et déclinaison de salsifis... Ses préparations pleines de goût méritent les honneurs du Salon.",Une étoile : une cuisine d’une grande finesse,Une étoile : une cuisine d’une grande finesse,https://www.esquisse-annecy.fr/,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/l-esquisse, Annecy,74000,"[6.122388, 45.899616]"
17,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/70d17affb01d4927b7511398551f3cf3.jpg,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/la-haut-1212434,Gourmande, Là-Haut,+33 4 50 44 62 07,"8 rue du Baronnet, Annecy, 74000, France",Cuisine moderne,"Au dernier étage de la Maison des Artisans, ce restaurant au cadre contemporain offre, à l’horizon des toits, une vue sur les montagnes. Le chef va droit au but avec sa cuisine savoureuse et sans artifice. Qualité des produits, générosité, sauces intenses : on passe un agréable moment, notamment grâce à un menu déjeuner à tarif appréciable.",Une cuisine de qualité,0,http://www.la-haut-restaurant.fr,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/la-haut-1212434, Annecy,74000,"[6.139248, 45.91009]"
18,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/063283f1512d43729361c20d25a76c8e.jpg,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/la-rotonde9937,Une étoile, La Rotonde des Trésoms,+33 4 50 51 43 84,"Les Trésoms, 15 boulevard de la Corniche, Annecy, 74000, France",Cuisine moderne,"La grande verrière de cette Rotonde est un véritable belvédère surplombant le lac d'Annecy : avant même le début du repas, nous voilà déjà en lévitation. Originaire d'Arcachon, le chef Eric Prowalski saupoudre de Sud-Ouest ses assiettes, qui mettent en avant des produits locaux issus de l'agriculture raisonnée. Excellent technicien, il déroule une partition légère et flatteuse, où la créativité n'empiète jamais sur le plaisir, savoureux ""dialogue"" entre sa terre d’adoption et sa région d’origine. Tout cela dans une salle épurée au maximum, mariage subtil de matériaux chaleureux comme le cuir et le chêne.",Une étoile : une cuisine d’une grande finesse,Une étoile : une cuisine d’une grande finesse,https://www.lestresoms.com/,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/la-rotonde9937, Annecy,74000,"[6.136286, 45.889507]"
19,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/85b38f5dc265438c918a380453de0c31.jpeg,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/le-binome,Gourmande, Le Binôme,+33 6 50 75 83 54,"32A avenue des Carrés - à Annecy-le-Vieux, Annecy, 74940, France",Cuisine moderne,"Mathilde et Rémi forment un binôme bien rôdé, en cuisine comme en salle : lui au salé, elle au sucré, tous les deux assurant le service avec le sourire. On se régale d'assiettes de retour du marché, simples et bien exécutées comme ce paleron de bœuf à la chair fondante et sa purée de pomme de terre. Quelques places au comptoir face au chef. Accueil souriant.",Une cuisine de qualité,0,https://le-binome-restaurant.fr,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/le-binome, Annecy,74940,"[6.142575, 45.913159]"
20,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e81be4fbac5d4d2686dfb0d8759852ab.jpeg,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/le-bouillon,Gourmande, Le Bouillon,+33 4 50 77 31 02,"9 rue de la Gare, Annecy, 74000, France",Cuisine moderne,"Dans ce bistrot au cadre moderne fraîchement rénové, dont le nom est un clin d'œil aux premiers restaurants créés au 18e s. à Paris, le chef réalise une sympathique cuisine du marché qui ne dédaigne pas quelques touches asiatiques, comme ce bouillon au curry rouge et curcuma qui flatte un joli dos de maigre en croûte de chorizo.",Une cuisine de qualité,0,https://www.lebouillon-annecy.fr/,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/le-bouillon, Annecy,74000,"[6.121828, 45.899182]"
21,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/4a92ed7c30d64f888edf2c081a0d4885.jpg,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/le-clos-des-sens,Trois étoiles, Le Clos des Sens,+33 4 50 23 07 90,"13 rue Jean-Mermoz - à Annecy-le-Vieux, Annecy, 74940, France",Cuisine créative,"Dans cette belle demeure des hauts d’Annecy, le chef Franck Derouet et son associé Thomas Lorival cultivent un univers culinaire tourné vers le végétal et le lacustre, avec une philosophie locavore évidente : tous les ingrédients proviennent du potager ou de producteurs situés à moins de 100 km. Fruits, légumes, fleurs et aromates de saison ponctuent chaque assiette, qui emprunte autant à la poésie qu’à l’art moderne. Impressionnant travail sur les poissons de lac, avec une réflexion poussée sur les textures et les modes de cuisson, qui permet par exemple d'expérimenter une féra crue mise en valeur par un puissant garum de plusieurs semaines, ou de déguster un brochet maturé cuit à la façon d'une viande grillée. Pour être encore plus proche des saisons, le chef introduit parfois quelques touches carnées dans ses assiettes, notamment pendant la période de fermeture de la pêche. En complément d'une carte des vins entièrement dédiée aux vignerons de l’arc alpin, les accords « mets et jus » (bouillons de légumes, infusions...) explorent de nouveaux champs de découvertes gustatives et célèbrent une complicité manifeste entre la salle et la cuisine. Dans ce clos, les sens sont bien à la fête.",Étoile Verte MICHELIN,Trois étoiles : une cuisine unique,https://www.closdessens.com/,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/le-clos-des-sens, Annecy,74940,"[6.132632, 45.925676]"
22,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f25815505de14403b2d4ede4efa1f32c.jpg,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/maison-benoit-vidal,Deux étoiles, Maison Benoît Vidal,+33 4 50 88 73 18,"Sur-les-Bois, 79 route de Thônes, Annecy, 74940, France",Cuisine créative,"Benoît Vidal est en pleine possession de ses moyens dans sa maison de l'agglomération annécienne au sobre décor contemporain. Le chef catalan originaire de Perpignan, passé chez Trama et Guérard, signe ici une cuisine légère et poétique enracinée dans la Savoie, son pays d’adoption. Il travaille avec justesse et personnalité des produits rigoureusement sourcés, mis en valeur par une technique sûre et des dressages très élaborés. Le point fort du chef se trouve peut-être dans ses préparations épurées d'une apparente simplicité, comme cette entrée d'écrevisses qui associe judicieusement un sabayon au café et bourgeon de sapin, teinté d’une légère amertume, à un jus de réduction des têtes puissant et concentré... ou encore ce pigeon mi-fumé et son condiment aux agrumes et noisette, une assiette à la fois sobre et élégante. Beau menu végétarien ""Sentier à fleur d’eau"", et menu déjeuner au prix attractif.",Deux étoiles : une cuisine d’exception,Deux étoiles : une cuisine d’exception,https://www.maison-benoit-vidal.com,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/maison-benoit-vidal, Annecy,74940,"[6.172012, 45.922693]"
23,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/a09087816f28457babbea0d688732e80.jpeg,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/mazette,Gourmande, Mazette !,+33 4 50 45 50 26,"15 faubourg Sainte-Claire, Annecy, 74000, France",Cuisine moderne,"Mazette, c'est tout bon ! Quand Laura la pâtissière et Maximilien le chef s'activent dans leur sympathique et convivial bistrot de poche et de tradition, on prend notre rond de serviette parmi la clientèle toujours aussi fidèle. Au menu : classiques du genre (pâté croûte, tourte au comté et jambon truffé, poitrine de cochon grillée), clins d'œil à leurs racines alsaciennes (spaetzle, vol-au-vent de volaille et morilles, tarte aux pommes, compotée de rhubarbe) et petite ardoise de plats à partager.",Une cuisine de qualité,0,https://mazette-restaurant.com/,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/mazette, Annecy,74000,"[6.123106, 45.897349]"
24,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/78692bc16078443187430d0b6d57eb1b.jpeg,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/restaurant-vincent-favre-felix,Une étoile, Vincent Favre Félix,+33 4 50 01 08 88,"15 chemin de l'Abbaye - à Annecy-le-Vieux, Annecy, 74940, France",Cuisine créative,"Vincent Favre-Félix reçoit dans cet élégant pavillon contemporain situé dans le parc de la Cour de l'Abbaye (16e s.) orné de magnifiques sculptures monumentales en bronze. Le chef, carrure de rugbyman et beau CV régional (le Père Bise à Talloires, l'Auberge de l'Eridan et l'Auberge du Lac à Veyrier-du-Lac), ne manque ni de finesse ni de subtilité. Toujours guidée par le terroir savoyard, sa cuisine créative et affirmée s'exprime avec talent au gré de menus carte blanche bien conçus, qui permettent de découvrir un de ses plats signatures, l'omble chevalier fumé au foin. À l'été, on profite de la ravissante terrasse sur jardin fleuri : tout est réuni pour passer un moment savoureux.",Une étoile : une cuisine d’une grande finesse,Une étoile : une cuisine d’une grande finesse,https://www.restaurant-vff.com/,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/restaurant-vincent-favre-felix, Annecy,74940,"[6.140966, 45.91689]"
25,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/505f92af8d03431e852d6baa6e8b7966.jpg,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/saba-1203988,Gourmande, Saba,+33 9 87 39 45 25,"21 faubourg Sainte-Claire, Annecy, 74000, France",Cuisine Fusion,"On connaissait nombre de chefs japonais passionnés par la gastronomie française, voici un chef français passionné par la cuisine nippone ! Et qui la met en œuvre de belle manière dans son restaurant de poche du vieil Annecy, avec des assiettes fraîches et vives, non sans caractère : gyozas d'anguille fumée et saba (maquereau en japonais) ; riz koshihikari, gambas et curry... Tout cela dans une démarche en faveur d'une agriculture et d'une pêche raisonnées. Service tout sourire.",Une cuisine de qualité,0,https://restaurant-saba.com/,/fr/fr/auvergne-rhone-alpes/annecy/restaurant/saba-1203988, Annecy,74000,"[6.122933, 45.897303]"
26,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/aaa9bff9807646aa8b532ab3104fb874.jpeg,/fr/fr/auvergne-rhone-alpes/annonay/restaurant/azimut-1213609,Gourmande, Azimut,+33 9 87 50 02 97,"21 rue Montgolfier, Annonay, 07100, France",Cuisine moderne,"Une cave à manger qui fait souffler un vent de liberté sans perdre le Nord. On y sert une cuisine locavore qui puise ses saveurs dans des produits bien sourcés et souvent bio : volaille fermière, escargots d'Eyrieu, pisciculture de Châtillon-en-Diois, olives de Nyons... Tarifs très doux au déjeuner, et carte de ""platarges"" (plats à partager) le soir. Sélection de vins peu ou pas soufrés.",Une cuisine de qualité,0,http://www.azimutrestaurant.com,/fr/fr/auvergne-rhone-alpes/annonay/restaurant/azimut-1213609, Annonay,7100,"[4.672928, 45.240065]"
27,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/375ed85d4bef49ba997393ac69993411.jpeg,/fr/fr/auvergne-rhone-alpes/anthy-sur-lman/restaurant/l-auberge-d-anthy,Gourmande, L'Auberge d'Anthy,+33 4 50 70 35 00,"2 rue des Écoles, Anthy-sur-Léman, 74200, France",Cuisine traditionnelle,"Ce petit hôtel-restaurant-café traditionnel mise tout sur des joies simples ! L'adresse est idéale pour apprécier le poisson du lac Léman (perche, féra et omble), fourni par des pêcheurs locaux. Et le chef aime aussi mettre en valeur les charcuteries et fromages du terroir chablaisien.",Une cuisine de qualité,0,https://www.auberge-anthy.com/,/fr/fr/auvergne-rhone-alpes/anthy-sur-lman/restaurant/l-auberge-d-anthy, Anthy-sur-Léman,74200,"[6.427219, 46.35543]"
28,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/3baf3d35502f40fbba31ee30f0011f50.jpeg,/fr/fr/auvergne-rhone-alpes/aubenas/restaurant/la-villa-tartary,Gourmande, La Villa Tartary,+33 4 75 35 23 11,"64 rue de Tartary, Aubenas, 07200, France",Cuisine moderne,"De belles voûtes en pierres de taille, un mobilier design, une terrasse délicieuse… Cet ancien moulin à eau – qui intervenait dans la fabrication de la soie – ne manque pas de charme ! Belles saveurs à la carte.",Une cuisine de qualité,0,https://www.restaurant-ardeche.com,/fr/fr/auvergne-rhone-alpes/aubenas/restaurant/la-villa-tartary, Aubenas,7200,"[4.397276, 44.622598]"
